iter	Logloss
0	0.3182829823
1	0.1733194546
2	0.0994871794
3	0.05875962202
4	0.03512865022
5	0.0219042574
6	0.01354066449
7	0.00905592643
8	0.005692765273
9	0.004007719694
10	0.002618896458
11	0.002029933358
12	0.001538790709
13	0.001175689442
14	0.0009694095411
15	0.000835274
16	0.0007091082569
17	0.0005968722174
18	0.0004358782312
19	0.0003752564886
